FIPS,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_51,VALUE_52,VALUE_71,VALUE_72,VALUE_74,VALUE_81,VALUE_82,VALUE_90,VALUE_95
02013,126900,913638592,2341811712,16200,8947800,174600,847800,2429461760,83664896,11626200,6669900,6839311360,2543158016,1885781760,13989600,1483200,0,0,15003900,1128828544
02050,0,8749807616,618137088,696600,23262300,2750400,394200,5274955776,3027956480,11566551040,4065618688,24815429632,29054734336,4310927872,2551456000,315034208,0,0,3645999872,9985737728
02158,0,5266022400,9000,0,8470800,1220400,224100,530764192,1489355136,1677800704,1210725888,13035110400,8036826112,64451700,5301057536,94149000,0,0,3153117696,6670319616
02070,0,2454286592,159246896,0,10117800,233100,0,1643339648,1656018944,4813877760,1762821888,8285616128,25640871936,128117696,455142592,35280000,0,0,349236896,2423031296
02180,308700,1785725056,8587800,197100,38427300,2065500,294300,2904910080,264461408,3737682944,457343104,23288633344,11756384256,147078000,12077664256,18000,0,0,1458320384,1842976768
02188,0,3305026816,84938400,0,14702400,530100,0,4524060672,627857984,6687801856,655371008,40698085376,19544203264,164045696,11777805312,0,0,6300,4553102848,1673185536
02060,0,133210800,0,47700,7154100,764100,0,1947600,16050600,25393500,21653100,396302400,637297216,25999200,27931500,208800,0,0,7483500,80941504
02164,0,8287345664,1037825088,463500,14678100,1151100,126900,6448746496,1826199936,3926484992,1324080000,17470705664,24352100352,205074896,497241888,8806500,0,0,460404896,1931415296
02150,132300,872899200,567436480,0,53959500,2979000,0,2054934016,573024576,1488034816,797400,2118275968,6718872576,2077721088,185473792,4500,0,0,336620704,112287600
02122,0,1556648064,7612977664,117406800,93857400,17676900,6517800,7608503808,1347086720,5404577280,1749957248,2579862528,11412148224,168273904,7946100,216000,7249500,753300,1178458240,1501601408
02170,0,1390067072,4666960896,140508896,90601200,11882700,2163600,13688321024,4365129728,5639587328,4012601344,5699606528,19461838848,35155800,73980000,27900,22010400,48352500,3130808320,2200634880
02020,0,113477400,812772928,81973800,89095504,44386200,18230400,851981376,252727200,284173184,125182800,633290368,1040859904,4474800,1482300,0,1725300,0,73293296,60120900
02185,84519000,11929818112,1175422464,485100,73304096,9521100,45900,28595339264,14572800,83783696,17392500,103192035328,14101199872,16433100,60385255424,0,0,0,133228800,12191891456
02068,0,451625408,2092328064,4095000,32367600,541800,111600,5219948032,800430272,5999589888,699915584,2368284416,13093216256,553283072,35109900,370800,671400,0,1613150976,138836704
02290,18900,7873212416,134556304,3054600,125592304,3334500,520200,9954344960,27045767168,89640534016,26490603520,27260639232,143400239104,14893431808,2737496576,67835696,805500,1758600,25969600512,7202906112
02195,0,242036096,1400419840,335700,39766500,197100,70200,454918496,125795696,3852979200,1334526336,79577104,756029696,3840300,73800,0,0,0,219914096,3996000
02198,335700,513225888,133155000,955800,100774800,324900,441900,150884096,226111504,5495436800,1859139840,56769300,1240410624,12864600,29700,0,0,0,141259504,3552300
02275,679500,242789408,422894688,175500,17770500,135000,29700,586900800,134546400,3033130496,568777472,194268608,1380088832,2266200,40500,0,0,0,56533500,4528800
02130,0,613441792,457301696,531000,24732000,435600,369000,1052387968,240164992,5137858560,1369229440,504555296,3001347840,4184100,61200,0,0,0,102316496,5009400
02261,0,2486726912,19033524224,4369500,82829696,3473100,1988100,20632940544,2406951936,19622912000,636113728,2484587776,18176139264,386248512,56412000,0,55800,3656700,4056765184,303392704
02282,92476800,886392000,9215520768,82800,8705700,414000,429300,4188668416,989894720,1487175296,977806784,90738896,1771767040,30674700,9823500,0,0,0,433918784,56518200
02090,0,236908800,414900,68481000,181304096,6944400,5368500,330857088,3046923776,6631967744,942170368,402340512,4673644032,329228992,20723400,0,2096100,11702700,2313669632,52806600
02240,0,1025329472,1612682112,10823400,89095504,1201500,470700,5503753728,3411307008,22375567360,1087882240,1977264896,21476018176,1143366272,357833696,0,10211400,195837296,4523793408,110525400
02220,0,474622208,162058496,230400,13333500,363600,256500,521820896,131201104,3510628096,715484672,230656496,1706328960,219600,367200,0,0,0,91065600,2984400
02105,3495600,396674112,4328265728,938700,36961200,374400,38700,2294385408,362165408,6168358912,1349624704,420608704,3887705600,3458700,3948300,0,0,0,143660704,13740300
02100,23288400,106409696,1501242240,610200,13729500,293400,159300,1059846272,106635600,1147658368,334574112,198880192,1605600896,239400,207000,0,0,0,27714600,4379400
02110,2210400,205378208,2345339648,491400,22049100,1719000,1380600,923883328,150308992,1465026304,355077888,257762704,1391784320,730800,320400,0,0,0,19073700,8730900
02230,45929700,12661200,371673888,9900,2070000,36000,84600,298025088,6014700,165600000,38634300,35932500,230176800,54900,194400,0,0,0,781200,174600
02016,792000,455719488,1210365056,1761300,20681100,1526400,2738700,2131508736,0,0,0,4245923584,270745216,3106435584,0,0,0,0,0,6093900
