GEOID,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
06075,0,4402800,0,8576100,10520100,40942800,41906700,728100,2700,2770200,480600,669600,2182500,8100,577800,180000,27000
25025,0,31054500,0,10281600,20131200,54815400,48518100,2046600,5175900,474300,1849500,129600,1292400,434700,154800,1558800,2241900
31007,0,159300,0,44733600,2147400,306000,11700,1559700,195300,33232500,45900,740700,1295617536,34652700,510255008,172800,2651400
37181,0,46764000,0,50053500,16571700,6139800,3015000,1056600,99114304,135862208,149002208,12811500,25454700,72435600,35917200,18879300,575100
48421,0,1396800,0,37902600,7776900,998100,154800,659700,16200,0,19800,340357504,788283008,3928500,1202993152,18900,3423600
50011,263700,148274096,0,46313100,40126500,14725800,3547800,1986300,525777312,145320304,225239392,11373300,6219900,361840512,110188800,124549200,32436000
51680,0,1046700,0,23452200,32404500,13959000,6336900,69300,39533400,835200,7422300,609300,989100,7384500,1800,45000,12600
05099,0,5687100,0,35806500,25242300,2484900,566100,1115100,109562400,781905600,49457700,105537600,87525904,186126304,1266300,223842592,8689500
08014,0,1073700,0,15856200,16859700,13373100,3583800,111600,6300,2700,6300,6282000,15806700,955800,21022200,504900,888300
16065,0,6521400,0,28054800,15332400,4075200,797400,276300,31870800,160948800,1629000,242745296,27487800,1574100,658435520,34652700,5023800
17027,0,87300896,0,41553000,39125700,11113200,2399400,1085400,30063600,145800,63387900,263700,4908600,67810496,827897408,119098800,6372000
19025,0,6291000,0,55140300,14630400,4729500,954000,467100,2977200,5400,437400,2700,6939900,41090400,1334640640,2086200,12045600
21129,0,4287600,0,22961700,6039900,1379700,259200,504900,347765408,1585800,87904800,5153400,5970600,45330300,366300,198900,27000
22063,0,111317400,0,88242304,58326300,19971000,4309200,2370600,8518500,423739808,8613000,161540992,55268100,94845600,926100,709355712,58437000
31097,0,6976800,0,33995700,6692400,725400,269100,99900,85559400,459000,1488600,744300,295931712,35809200,504881984,2177100,511200
31101,0,127355400,0,54021600,10253700,2697300,656100,7435800,3100500,796500,701100,1473300,1685675648,13078800,872361920,44999100,38638800
51775,0,0,0,3981600,8674200,6867000,3230100,3600,948600,28800,739800,0,0,747000,900,0,0
48493,0,6823800,0,66780000,25623900,5086800,1296900,8287200,158496304,808200,27818100,593936128,4991400,1032116416,128608200,24030000,2225700
48115,0,9431100,0,83673000,9428400,1860300,528300,956700,3354300,352800,0,366358496,295509600,1983600,1537741824,5265000,20456100
46051,0,21630600,0,59690700,8612100,3266100,1072800,1965600,20220300,16200,2807100,293400,312383712,175127392,1087090176,1488600,74540704
05067,0,25605000,0,57554100,12717000,4564800,1570500,1058400,86575504,2065500,21860100,660600,1529100,37427400,1233811840,170567104,7213500
51670,0,1707300,0,5758200,7946100,3721500,2297700,9900,1664100,216000,1311300,144900,49500,34200,178200,2783700,56700
46003,0,35003700,0,63477900,4878000,946800,169200,641700,6412500,64800,198900,176400,42664500,784170880,855939584,217800,56434500
18031,0,3710700,0,37494000,18635400,6007500,2734200,599400,165229200,67500,11272500,200700,1519200,72549000,643498176,798300,98100
18169,0,22254300,0,50743800,17973900,5200200,2257200,1540800,152190896,3426300,1639800,3325500,5418900,43565400,780853504,6391800,3613500
19161,0,7830000,0,56145600,15357600,4961700,1172700,1113300,9491400,101700,419400,30600,9263700,60193800,1316564992,4580100,11870100
37107,0,13535100,0,57368700,26958600,9162900,3627900,692100,9774000,166369504,29756700,26984700,19273500,6096600,429506112,217735200,6289200
29055,0,10700100,0,68908496,11220300,3323700,680400,2853000,1223794816,35129700,116220600,11317500,33301800,396426592,1158300,3710700,677700
31105,0,835200,0,52726500,6762600,1272600,317700,875700,54000,246600,0,384300,1319076864,47704500,1033323328,192600,6625800
08045,0,23913900,0,50277600,36351900,12835800,1972800,37497600,1783666816,2353888768,101133000,2808047616,133659000,40070700,168626704,55663200,30708000
17067,0,47446200,0,44315100,57883500,16599600,2228400,1191600,304011008,446400,37257300,669600,1441800,223572608,1338830976,25489800,3236400
27173,0,21767400,0,70790400,11253600,2866500,908100,3191400,27964800,315900,3647700,45900,13488300,96598800,1631471360,7913700,100731600
31145,0,3466800,0,52870500,8153100,2509200,1117800,815400,390600,0,27000,67500,826362880,7528500,915524992,30704400,3648600
13089,0,7191900,0,198786592,162045904,68492704,39190500,7194600,85452304,88959600,31950900,1310400,6959700,12987900,0,9873000,216900
45077,0,48414600,0,138982496,46818900,14181300,6024600,4181400,525026688,119212200,213376496,13575600,36442800,173054704,143100,5396400,702900
20131,0,10151100,0,57904200,15258600,2004300,764100,161100,125923504,517500,3194100,1814400,369655200,228383104,1044233984,1938600,175500
05111,0,33785100,0,69513296,16250400,4970700,1118700,3240000,10341900,1362600,65349900,972900,563400,26856900,1521449088,201980704,5592600
17175,0,1458000,0,23418000,9061200,1048500,405000,68400,22353300,46800,16825500,55800,156600,25932600,645504320,405000,48600
37147,0,17786700,0,104265000,52476300,23437800,7350300,1458000,30660300,247365904,50940900,42814800,29608200,4085100,656075712,399580192,15997500
19147,0,15906600,0,50942700,11814300,3447000,888300,1711800,741600,20700,2148300,31500,13645800,67239000,1268714752,11880900,25034400
19081,0,6182100,0,54711900,14212800,4601700,1539000,944100,7401600,126000,837900,2700,13823100,44660700,1311300864,2716200,22014900
29229,0,1742400,0,56929500,14014800,3431700,788400,923400,779137216,11909700,79407904,10626300,25711200,783914368,432900,1009800,27000
31073,0,14126400,0,30890700,6540300,450900,109800,113400,79200,18000,86400,7535700,537369280,2730600,570101376,24268500,5736600
38043,0,400616992,0,97946096,5388300,728100,91800,1307700,2007000,30600,18000,1044900,1669447808,241035296,996093888,1815300,235853104
40015,0,35584200,0,106289104,18363600,7877700,2922300,1995300,202437904,154326592,5075100,24234300,1690826368,32436000,1039973376,1249200,4122900
42075,0,5175000,0,69664496,61136100,22242600,10386000,1687500,260182800,5533200,53805600,5859000,2644200,136356304,303450304,7047000,1313100
48069,0,17189100,0,64850400,7144200,1257300,693000,932400,299700,2700,23400,82679400,653278528,16100100,1472731136,75600,14082300
48279,0,10491300,0,85278600,11440800,1881900,684900,1408500,144900,2700,67500,761875200,261500400,4513500,1489601664,26100,5942700
48385,0,1339200,0,18767700,3090600,513900,117000,306900,78630304,624953728,203400,1064285120,1718100,231300,602100,2687400,78300
55141,0,38571300,0,84567600,51315300,14976000,6157800,878400,322752608,63270000,104900400,16506000,48550500,47081700,667564224,452166304,176370304
55099,0,64106100,0,81490496,12672900,2018700,648900,237600,1013581824,32917500,405056704,30738600,39365100,128184304,57602700,1297323008,142013696
35057,0,1404000,0,108012600,7393500,2154600,458100,9806400,19075500,795189632,2809800,3350183424,4233113088,1665000,83700000,360000,50903100
26107,0,34038000,0,65054700,37858500,6557400,2273400,1193400,444885312,60339600,58489200,12843000,51743700,22787100,449907296,222109200,10821600
29003,0,9920700,0,40348800,19136700,3678300,545400,1376100,185953504,239400,8020800,621000,7470000,287971200,542002496,14733900,6696900
