FIPS,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
06053,0,19066500,0,219519904,93243600,78403504,16405200,21013200,160200,981087296,509276704,2837489408,2746830592,47728800,900126016,59581800,54340200
06087,0,3594600,0,107965800,36678600,36664200,8389800,2730600,369900,571926592,166572000,90423000,69757200,7358400,46548000,4310100,3772800
06085,0,51949800,0,182547008,208280704,345471296,90849600,3531600,1508400,241155904,807709504,810461696,504447296,4237200,86076896,5982300,18604800
06069,0,3491100,0,39707100,16365600,14271300,2387700,2946600,10800,151776896,291840288,1245599104,1620018944,17176500,167641200,11190600,16916400
06111,0,15650100,0,207456304,171998096,171908096,16520400,30635100,108900,654706816,126908096,2506282240,525241792,29059200,300185984,18360900,34698600
06037,0,40779900,0,729631808,817205376,1386445440,510451200,122969696,269100,397628992,155106000,5398543872,745811968,179571600,53658900,22880700,24912000
06073,20700,35213400,0,690437696,469079104,642724224,178812000,1342849536,939600,219225600,160188304,5668945920,1303443840,41715900,66100500,69840896,83008800
06059,0,13627800,0,189163808,299831392,573452992,167944496,4023000,93600,25403400,19512900,645846272,86520600,8954100,9862200,9797400,15471000
06065,0,235732496,0,625163392,538887616,544759168,78125400,1306342784,576000,343992608,80313296,12050273280,2063686528,83817904,868296576,31631400,63627300
06083,0,16571700,0,230221792,103590896,69711296,5391900,13095900,39600,611927104,445848288,3847062528,1343139328,43591500,318396608,23290200,53740800
06079,0,22442400,0,363248992,82313104,49379400,5001300,43271100,46800,447367488,631832384,2371478528,4076993792,32004900,379962912,28684800,64534500
06029,0,44939700,0,777187776,245421904,242194496,54693000,462601792,86935504,986579072,76992304,8324016128,5360726016,44008200,4339366400,18977400,73350896
06031,0,27301500,0,95278496,57968100,56405700,13598100,20255400,5400,176400,410400,55998900,602545472,13491900,2648496640,403200,11362500
06047,0,79520400,0,140922896,78209104,54919800,10036800,22123800,359100,2014200,69975904,116269200,1727646336,71280896,2306110464,16202700,425541600
06019,0,131184896,4973400,311655616,222113696,238734000,68607000,515183392,10384200,2923359232,106491600,2508989440,3099632384,53790300,5302594048,18851400,52332300
06039,0,32475600,2382300,119956496,41330700,22995900,5488200,90741600,47334600,1638046848,11833200,922307392,1125648000,11004300,1491701376,5723100,8262900
06107,0,32238000,1270800,232794896,105239696,110924096,21387600,489996000,90173696,2926379776,42129900,3293419520,1962601216,36198000,3126454272,20537100,40333500
06027,0,27990900,4565700,93043800,43196400,9271800,690300,3934394880,4556700,838503872,4492800,20238563328,1027151104,71419504,9554400,75927600,105156896
06071,0,69904800,0,846341120,597317376,431177408,70708496,5992491520,873000,660982528,60978600,40744374272,2439108096,42686100,49081500,44763300,23089500
06045,0,19945800,0,407270688,30612600,13656600,2927700,9684900,223896608,4800345088,608281216,2285726464,532772096,88503296,17803800,40117500,14716800
06075,0,1886400,0,10220400,12264300,43983900,43992000,1587600,17100,2988000,882000,1235700,2593800,8100,752400,180000,137700
06041,0,19708200,0,79019104,52803900,45430200,7718400,1243800,32952600,273005088,116469904,457682400,206388896,1340100,13591800,9145800,44918100
06081,0,29989800,0,109089904,85328096,109181696,40068900,4005900,4102200,303507904,250409696,125961296,83470496,1679400,7569900,7120800,21297600
06013,0,108819000,0,210381296,187531200,216517504,48954600,1999800,299700,25558200,259859696,223597792,422060416,11590200,206900992,4408200,39058200
06097,0,30854700,0,192816896,113789696,100143000,18301500,5379300,76187696,1251134080,314929792,861242368,788643904,33276600,247845600,18874800,64731600
06055,0,97544704,0,50342400,40282200,34057800,6112800,1080900,30013200,339329696,162891904,800223296,301860000,5681700,126855904,4161600,41643900
06095,0,218275200,0,78348600,67923904,113626800,32936400,6375600,1432800,34026300,23576400,169290000,554296512,16654500,744706816,2543400,240369296
06001,0,80734496,0,111261600,126329400,295094688,103169696,6661800,634500,32587200,304477184,293082304,497572192,1971000,29900700,2446200,41208300
06077,0,84478496,0,124377296,123373800,181809904,66664800,4824000,6300,115200,22017600,67742096,594950400,36728100,2353996800,17527500,15902100
06099,0,46175400,0,104796896,94547696,119501104,34112700,11144700,501300,3702600,150525904,434993408,1186818304,89085600,1601321344,19903500,23646600
06067,0,77355000,0,222393600,213313504,301508096,84462304,14973300,2205000,749700,148500,71225104,705979776,60884100,755732672,16478100,46868400
06113,0,33006600,0,64370700,41142600,50230800,18636300,9743400,1128600,28746900,29188800,409895104,408297600,9561600,1519636480,2850300,24028200
06011,0,19753200,0,68123696,20176200,8950500,2080800,6309000,3927600,82217696,14346000,640777472,668654976,1040400,1378665856,10602000,69495296
06021,0,23715900,0,102251696,20310300,11576700,3447900,19833300,27202500,386074816,49356000,738025216,849454208,23342400,1112419840,15525900,54395100
06033,0,176046304,0,175291200,24752700,5491800,1727100,9956700,33082200,706303808,220392896,1436344192,605174400,9949500,19133100,7591500,12050100
06103,0,27216000,0,186825600,26126100,13572000,5095800,19542600,47608200,1684592128,84842096,3039358464,2048930944,103799696,287851488,48716100,48015900
06007,0,86606096,0,122578200,61860600,43569900,11178900,7160400,102420896,1484433024,22613400,611742592,584320512,3449700,1126937728,25373700,50223600
06101,0,18762300,0,56061000,35593200,24349500,5434200,505800,1225800,2232000,2752200,57639600,90412200,844200,1232631040,12910500,34786800
06115,0,36302400,0,57717900,15786000,13617000,3511800,31199400,67349696,476297984,21361500,178152304,300225600,2521800,455786112,4761000,2256300
06061,0,241313408,0,158760896,80188200,83300400,21974400,3108600,79605000,1829908736,86431504,590970624,499270496,14490900,188928896,6255000,5812200
06035,0,113757296,0,90075600,31349700,6786900,1768500,140723104,4711500,3369802496,20954700,5845845504,1913476480,206635504,172683008,128391296,178780496
06063,0,144625504,0,78429600,14960700,4074300,1599300,514800,7291800,4374160384,9923400,1644056064,309264288,25281000,27451800,14153400,112518896
06023,0,54549000,0,453720608,49693500,32866200,4313700,51062400,343546208,5693190144,622556096,1038093312,676597504,163928704,570600,17978400,77110200
06015,0,21083400,0,123812096,13384800,7493400,2086200,10632600,50619600,1656810880,251047808,313409696,105957000,35764200,157500,7568100,25547400
41015,0,14850900,0,128130304,17138700,7267500,2091600,16958700,9601200,2456396032,426984288,878257792,206326800,20732400,165600,7825500,40535100
