"","GEOID","D2020_001","D2020_032","D2020_061","D2020_092","D2020_122","D2020_153","D2020_183","D2020_214","D2020_245","D2020_275","D2020_306","D2020_336","D2021_001","D2021_032","D2021_060","D2021_091","D2021_121","D2021_152","D2021_182","D2021_213","D2021_244","type"
"0","06075",3457.54954954955,3470.66666666667,3411.28378378378,3293.97747747748,3186.11261261261,2940.83783783784,2970.62612612613,2854.02252252252,2776.84234234234,2994.04954954955,3269.36936936937,3230.5990990991,3229.23873873874,3414.33333333333,3307.86036036036,3064.39189189189,2879.03603603604,2968.77477477477,2589.82882882883,2634.92792792793,2833.75675675676,"NDVI"
"1","25025",2626.28795811518,2509.0445026178,2489.65445026178,2922.72251308901,3975.69689119171,4655.03385416667,4825.17989417989,4693.5621761658,4721.1881443299,4214.40526315789,3583.29947916667,3231.16321243523,2821.75520833333,2637.19430051813,2447.56701030928,3010.68421052632,4328.9453125,4894.87696335079,5058.07948717949,4852.34715025907,4942.68112244898,"NDVI"
"2","31007",1973.98430913349,2076.0112412178,2207.00889929742,2694.50046838407,3710.85152224824,4075.19742388759,3483.29601873536,3312.86088992974,2862.76206088993,2771.85245901639,2635.27049180328,2402.64543325527,2253.63770491803,2134.23770491803,2094.22107728337,2393.55199063232,3908.81850117096,4182.63255269321,3787.43676814988,3317.28056206089,2866.118735363,"NDVI"
"3","37181",5329.64592592593,5331.91777777778,5457.52666666667,6645.65703703704,7451.94666666667,7786.26074074074,7765.4762962963,8038.83777777778,7944.11481481481,7322.77851851852,6311.47185185185,5656.62962962963,5219.6362962963,5006.44296296296,5114.72666666667,6260.84444444444,7329.95111111111,7596.37333333333,7940.58814814815,8061.75777777778,7842.40296296296,"NDVI"
"4","48421",2593.03930041152,2547.44176954733,2835.06687242798,3200.46296296296,3092.27407407407,3066.39670781893,4711.95658436214,5402.61440329218,4951.31316872428,3839.94238683128,3196.27736625514,3037.48683127572,2682.1183127572,2565.89855967078,2641.14773662551,3208.53950617284,3660.48251028807,4389.91687242798,5100.37222222222,4820.48600823045,4265.46481481481,"NDVI"
"5","50011",2625.15200391007,1096.43059628544,4170.63782991202,4664.58504398827,6174.70478983382,7860.20332355816,8388.34995112414,8371.30865102639,7949.39369501466,6293.3514173998,5791.18914956012,5560.89980449658,1798.37976539589,1418.12487781036,4351.81085043988,5216.86241446725,6944.07771260997,7948.66055718475,8295.9518572825,8316.55596285435,7968.33846529814,"NDVI"
"6","51680",4269.17391304348,4310.13405797101,4770.01449275362,6149.14492753623,7303.77536231884,7384.89855072464,7482.40942028986,7517.97101449275,7332.85869565217,6684.39492753623,5407.39492753623,4981.78623188406,4424.22463768116,4091.77898550725,4348.16304347826,5889.23913043478,7343.51449275362,7513.96739130435,7589.96376811594,7444.66666666667,7357.11231884058,"NDVI"
"7","05099",6287.74621212121,6238.12941919192,6473.02178030303,7599.69476010101,7897.11174242424,8014.88478535354,8198.66287878788,8278.78377525252,8076.99747474747,7654.5303030303,7036.34753787879,6378.05460858586,6142.34217171717,5914.04608585859,5960.4586489899,6990.45517676768,7894.5211489899,8140.48832070707,8158.12373737374,8148.73958333333,7861.08775252525,"NDVI"
"8","08014",2178.28282828283,2225.78787878788,2481.73737373737,3209.08080808081,3889.85858585859,3788.73737373737,3401.58585858586,3211.56565656566,3290.37373737374,2986.87373737374,2699.69696969697,2350.54545454545,2140.09595959596,1985.09595959596,1988.68181818182,2572.89898989899,3920.36868686869,4680.88888888889,4328.5202020202,4059.9494949495,3674.57575757576,"NDVI"
"9","16065",223.993435448578,221.147337709701,1465.25929978118,3087.11123267688,4741.80415754923,6694.03099927061,7041.33369803063,5976.98869438366,4225.65572574763,3384.5299051787,3203.39606126915,1430.36214442013,340.975565280817,312.378555798687,1421.56637490883,2584.66265499635,4308.49015317287,6271.65134938001,6440.84938001459,5351.82749817651,4553.29175784099,"NDVI"
